/home/user/proj/system-solver/cmake-build-debug/system-solver
Solving task 5
500 0.00 1
500 0.10 100
500 0.20 84
500 0.30 54
500 0.40 39
500 0.50 30
500 0.60 23
500 0.70 18
500 0.80 14
500 0.90 11
500 1.00 5
500 1.10 11
500 1.20 14
500 1.30 18
500 1.40 22
500 1.50 30
500 1.60 41
500 1.70 50
500 1.80 92
500 1.90 100
1000 0.00 1
1000 0.10 100
1000 0.20 80
1000 0.30 52
1000 0.40 38
1000 0.50 29
1000 0.60 22
1000 0.70 18
1000 0.80 14
1000 0.90 10
1000 1.00 5
1000 1.10 10
1000 1.20 14
1000 1.30 18
1000 1.40 23
1000 1.50 29
1000 1.60 35
1000 1.70 57
1000 1.80 91
1000 1.90 100
2000 0.00 1
2000 0.10 100
2000 0.20 76
2000 0.30 50
2000 0.40 36
2000 0.50 27
2000 0.60 22
2000 0.70 17
2000 0.80 13
2000 0.90 10
2000 1.00 5
2000 1.10 10
2000 1.20 14
2000 1.30 18
2000 1.40 23
2000 1.50 30
2000 1.60 39
2000 1.70 49
2000 1.80 88
2000 1.90 100
4000 0.00 1
4000 0.10 100
4000 0.20 73
4000 0.30 48
4000 0.40 35
4000 0.50 26
4000 0.60 21
4000 0.70 16
4000 0.80 13
4000 0.90 10
4000 1.00 4
4000 1.10 10
4000 1.20 13
4000 1.30 17
4000 1.40 22
4000 1.50 29
4000 1.60 39
4000 1.70 54
4000 1.80 85
4000 1.90 100

Process finished with exit code 0
